annee,type_produit,nom_produit,quantite,prix,vecteur_id,country,annee_str,client,prix_total
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,0,0.0,12,France,2025,12,0.0
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,24,600.0,12,France,2024,12,600.0
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,12,France,2025,12,0.0
2024,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",6,330.0,12,France,2024,12,330.0
2025,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",0,0.0,12,France,2025,12,0.0
2024,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,12,456.0,12,France,2024,12,456.0
2025,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,12,France,2025,12,0.0
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,24,600.0,13,France,2024,13,600.0
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,13,France,2025,13,0.0
2024,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",24,1320.0,13,France,2024,13,1320.0
2025,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",0,0.0,13,France,2025,13,0.0
2024,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,24,912.0,13,France,2024,13,912.0
2025,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,13,France,2025,13,0.0
2024,CHAMPAGNE,Blanc d'Assemblage (SSA) (Conv.Bio) Brut Nature 750 mL CRD,12,241.2,14,non renseigné,2024,14,241.2
2025,CHAMPAGNE,Blanc d'Assemblage (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,14,non renseigné,2025,14,0.0
2024,CHAMPAGNE,Blanc de Chardonnay (SSA) (Conv.Bio) Extra-Brut 750 mL CRD,12,308.4,14,non renseigné,2024,14,308.4
2025,CHAMPAGNE,Blanc de Chardonnay (SSA) (Conv.Bio) Extra-Brut 750 mL CRD,0,0.0,14,non renseigné,2025,14,0.0
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,12,308.4,14,non renseigné,2024,14,308.4
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,14,non renseigné,2025,14,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,48,1008.0,15,France,2024,15,1008.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,0,0.0,15,France,2025,15,0.0
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,6,150.0,15,France,2024,15,150.0
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,15,France,2025,15,0.0
2024,VINS COTEAUX CHAMPENOIS,"Coteaux Champenois Rouge (SSA) (Conv.Bio) ""Méthode Nature"" 750 mL CRD",6,240.0,15,France,2024,15,240.0
